Evaluation,mean,median,count,prop_0_0p5,prop_0p5_1,prop_0.5_3,prop_0.5_5,prop_0.5_30,prop_1_3,prop_1_5,prop_1_30,prop_3_30,prop_5_30,prop_gt10,prop_sum_check
NV-NCD-RW-22513_2022-08-21,0.13883858282434366,0.12999999523162842,2032,1,0,0,0,0,0,0,0,0,0,0,1
NV-NOD-RW-23679_2023-07-20,3.1091081885508394,2.666785793645041,2052,0.001949317738791423,0.00682261208576998,0.5906432748538012,0.8767056530214425,0.9980506822612085,0.5838206627680312,0.8698830409356725,0.9912280701754386,0.4074074074074074,0.12134502923976608,0,5.44785575048733
NV-NCD-RW-22563_2022-05-28,0.07744269331858458,0.02999999932944774,2792,1,0,0,0,0,0,0,0,0,0,0,1
CA-APFO-TW-22116_2023-07-07,0.6979628746282912,0.1543563521782354,8350,0.7615568862275449,0.08467065868263474,0.16526946107784432,0.19868263473053893,0.23844311377245508,0.08059880239520958,0.1140119760479042,0.15377245508982035,0.07317365269461078,0.039760479041916166,0,1.9099401197604788
CA-ELFO-TW-22095_2022-07-08,0.04910762696522733,0.02393336164592175,6634,0.9897497738920712,0.0037684654808561955,0.010250226107928851,0.010250226107928851,0.010250226107928851,0.006481760627072656,0.006481760627072656,0.006481760627072656,0,0,0,1.043714199577932
NV-NCD-RW-23549_2023-08-03,3.7388541672650417,2.5255555311838784,2304,0.10243055555555555,0.21614583333333334,0.4275173611111111,0.5546875,0.8975694444444444,0.2113715277777778,0.3385416666666667,0.6814236111111112,0.4700520833333333,0.3428819444444444,0.029947916666666668,4.272569444444445
NV-NCD-RW-23516_2023-08-03,0.03606474087805605,0.02999999932944774,3151,1,0,0,0,0,0,0,0,0,0,0,1
NV-NCD-RW-22585_2022-09-05,4.948603477313052,3.681562565267086,7934,0.021048651373834132,0.11520040332745148,0.4135366775901185,0.5925132341820015,0.9789513486261658,0.298336274262667,0.47731283085455006,0.8637509452987144,0.5654146710360474,0.38643811444416437,0.15427275018905975,4.866775901184774
NV-NOD-RW-22501_2022-06-11,1.672417668270642,1.6799999475479126,6316,0,0.10718809373020899,0.983692210259658,1,1,0.876504116529449,0.892811906269791,0.892811906269791,0.01630778974034199,0,0,5.76931602279924
NV-NCD-TW-24007_2024-05-12,4.580298097120169,3.9031250923871994,4730,0.14439746300211417,0.10232558139534884,0.29365750528541223,0.43150105708245245,0.8556025369978858,0.19133192389006343,0.3291754756871036,0.753276955602537,0.5619450317124736,0.4241014799154334,0.10676532769556026,4.194080338266385
CA-ELFO-TW-22131_2023-08-05,0.0607142855406466,0.05999999865889549,4662,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-23116_2023-09-03,0.06044504552387309,0.03999999910593033,6651,0.9983461133664111,0.001653886633588934,0.001653886633588934,0.001653886633588934,0.001653886633588934,0,0,0,0,0,0,1.0049616599007667
CA-ELFO-TW-22093_2022-07-09,0.10515202089537416,0.07999999821186066,8387,0.9933229998807679,0.006677000119232145,0.006677000119232145,0.006677000119232145,0.006677000119232145,0,0,0,0,0,0,1.0200310003576967
CA-ELFO-TW-24031_2024-08-15,0.09540053872000975,0.0480730969535513,10386,0.9795879067976122,0.008665511265164644,0.016657038320816484,0.02041209320238783,0.02041209320238783,0.007991527055651839,0.011746581937223185,0.011746581937223185,0.003755054881571346,0,0,1.0809743886000385
NV-NOD-RW-23687_2023-06-23,0.04873441951036853,0.05000000074505806,4172,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-22136_2023-08-03,0.05181525507596425,0.03999999910593033,7145,1,0,0,0,0,0,0,0,0,0,0,1
CA-APFO-TW-22141_2022-09-21,0.1363666943518039,0.07999999821186066,7134,0.9456125595738716,0.05242500700869078,0.0543874404261284,0.0543874404261284,0.0543874404261284,0.0019624334174376226,0.0019624334174376226,0.0019624334174376226,0,0,0,1.16708718811326
NV-NCD-RW-22536_2022-05-01,0.16156682015157744,0.12999999523162842,2604,0.9823348694316436,0.017665130568356373,0.017665130568356373,0.017665130568356373,0.017665130568356373,0,0,0,0,0,0,1.0529953917050692
NV-WND-TW-22001_2022-09-04,0.02901391066137527,0.01999999955296516,8123,1,0,0,0,0,0,0,0,0,0,0,1
NV-NCD-RW-24523_2024-07-17,0.02004721895643373,0.01999999955296516,5718,1,0,0,0,0,0,0,0,0,0,0,1
CA-ELFO-TW-24007_2024-07-14,0.04464933377635691,0.03999999910593033,7885,1,0,0,0,0,0,0,0,0,0,0,1
NV-WND-RW-23644_2023-09-02,0.1179738474374812,0.07999999821186066,7571,0.9878483687755911,0.012151631224408928,0.012151631224408928,0.012151631224408928,0.012151631224408928,0,0,0,0,0,0,1.036454893673227
NV-NOD-RW-23693_2023-07-23,1.263908006570464,1.1953571949686324,6131,0.11303213178926766,0.27026586201272224,0.8869678682107324,0.8869678682107324,0.8869678682107324,0.6167020061980101,0.6167020061980101,0.6167020061980101,0,0,0,4.894307617028217
